network,River,Pool,Spawn,S0,h,R0,harvest_start,harvest_end,harvest_month,harvest_min,harvest_max,harvest_slope,harvest_inflection,egg_alpha,egg_beta,min_recruit,max_recruit
two_pools,La Grange,a,TRUE,800,1,1000,2,75,0;0,0,0,0,642.35,3589.37,0.0014715,0,1172198
two_pools,Peoria,b,TRUE,800,1,1000,2,75,0;0,0,0,0,643.35,3589.37,0.0014715,0,1172198
